,text,selected_text,sentiment,Age of User,Country
87,his snoring is so annoying and it keeps me from sleeping like right now lol but i honestly would miss it if it ever left i love him,"his snoring is so annoying n it keeps me from sleeping (like right now, lol) but i honestly wud miss it if it eva left  i love him.",neutral,46-60,Kazakhstan
88,i miss you baby wish you were going org_moro to make me do good,i miss you bby,negative,60-70,Kenya
89,well what Instant Message working on is nt quite ready to post about publicly still beta testing but its a cool new script i coded,cool,positive,70-100,Kiribati
90,gpe_sweet gpe_san gpe_fran is awesome love it there,love it there,positive,0-20,Kuwait
91,_ mounce yes and it lasts way past my bedtime,_mounce yes and it lasts way past my bedtime!,neutral,21-30,Kyrgyzstan
92,hi how are you doing just joined twitter,hi  how are you doing ???  *just joined twitter...,neutral,31-45,Laos
93,waiting for sleeping pills to kick in going to be so tired at work gpe_moro,tired,negative,46-60,Latvia
94,eating ice cream and then getting ready for graduation,eating ice cream and then getting ready for graduation.,neutral,60-70,Lebanon
95,happy mothers day to all you mums out there,happy mothers day to all you mums out there,positive,70-100,Lesotho
96,caseys gone but why so she piddled a little on the carpet she s Probably freaked because its new can we get her back,freaked,negative,0-20,Liberia
97,hemp cloth is marvelous but unfortunately no,unfortunately,negative,21-30,Libya
98,going to read a story about adam lambert online then bed nighty night,gonna read a story bout adam lambert online then bed. nighty night,neutral,31-45,Liechtenstein
99,we saw that in none d the baddies the best,best,positive,46-60,Lithuania
100,am and Instant Message on the beach pretty,pretty,positive,60-70,Luxembourg
101,certainly not cheers than huh,"certainly not cheers than, huh?",neutral,70-100,Madagascar
102,week post myhorrible traumatic jumping cholla accidentchollas next dirty trickpieces are starting to emerge from my hand ouch,"horrible,",negative,0-20,Malawi
103,i gpe_realy wanted to go out because its so nice but everybodys busy,busy,negative,21-30,Malaysia
104,awesome i m down in gpe_ocean gpe_beach if you know where that is by the way yourbiggestfan i m a real big fan of yours,awesome.,positive,31-45,Maldives
105,at least i get to watch over time lets go pens,at least i get to watch over time  let`s go pens!!,neutral,46-60,Mali
106,cool i wear black most of the time when i go out,cool i wear black most of the time when i go out,neutral,60-70,Malta
107,haha i do not know how to work blip apart from the obvious thanks for reblipping my song have date_a date_nice date_day,thanks,positive,70-100,Marshall Islands
108,have a safe trip org_joshy org_pooyoull org_knock them dead at your speech,safe,positive,0-20,Mauritania
109,person_woof i wish i was allowed to go,i wish i was allowed to go,positive,21-30,Mauritius
110,if you have a friendster add me my email adress add me loco_crime_stcom add me leave some comment,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me,neutral,31-45,Mexico
111,has tickets,has tickets.......?,neutral,46-60,Micronesia
112,thank you afrin nasal spray also i got a giant teacup time_tonight,"thank you,",positive,60-70,Moldova
113,acsm its unfathomable i think the other one and the is one that should be kept to the comfort of our bedrooms yes,acsm. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral,70-100,Monaco
114,aww i love my daddy he works days a week almost all day and still tries to go to sf with all of us,i love my,positive,0-20,Mongolia
115,so many tests todayy i do nt feel confident about person_anyy,i don`t feel confident,negative,21-30,Montenegro
116,graduation is done Instant Message a little sad anyone want to hang out,sad.,negative,31-45,Morocco
117,hahaa your awesomee,hahaa your awesomee !,positive,46-60,Mozambique
118,holy smokes star trek was freaking awesomee,awesomeeeee,positive,60-70,Myanmar (formerly Burma)
119,i hate fallout it keeps making me jump i m also low on health money ammo and food do nt worry ill get through it,"i hate fallout 3 it keeps making me jump, i`m also low on health, money, ammo and food  don`t worry i`ll get through it.",neutral,70-100,Namibia
120,i had it on my itunes but then i lost all my songs,"i had it! on my itunes, but then i lost all my songs.",neutral,0-20,Nauru
121,what s with the gloomy weather the sun must be too tired to come out and play heading to victoria gardens for some impulse buys haha,what`s with the gloomy weather? the sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral,21-30,Nepal
122,not looking forward to date_next date_week maths geography language_english and norp_french exams totalling time_hours,not looking forward,negative,31-45,Netherlands
123,poor you get outside and sleep in the garden the sun will do you good but do nt forget suncream,poor you,negative,46-60,New Zealand
124,not well,not well,negative,60-70,Nicaragua
125,not a problem honey,not a prob,positive,70-100,Niger
126,at dads watching some mtv and am going on sims in a minutee,"at dads, watching some mtv and am going on sims2 in a minutee",neutral,0-20,Nigeria
127,absolutely,absolutely,neutral,21-30,North Korea
128,what s the matter chickadee,what`s the matter chickadee?,neutral,31-45,North Macedonia
129,hey mia totally adore your music when will your cd be out,y adore,positive,46-60,Norway
130,shopping cleaning bmfing webcam chatting with nephews nothing spesh but a good bank holiday date_monday nonetheless,good,positive,60-70,Oman
131,o you need to ask him something laughing my ass off i love him too,i love him too,positive,70-100,Pakistan
132,those splinters look very painfulbut you were being very heroic saving mr pickle,painful.,negative,0-20,Palau
133,why are you sad,sad?,negative,21-30,Palestine State
134,nice to see you tweeting its date_sunday NUMBERth may and were celebrating mothers day here date_today so be nice to you are mom,e nice,positive,31-45,Panama
135,decided too trans from relaxed too natural hair but i wish my whole head looked like my roots age of the instant gratification,i wish,positive,46-60,Papua New Guinea
136,namaskar namaste are both the same marathi people say namaskar its a marathi word should i naah,namaskar & namaste r both the same. marathi people say namaskar! its a marathi word.... should i ? ...naaaah !,neutral,60-70,Paraguay
137,congrats i cuss like that in a matter of minutes but did nt know until now there is a reward for it,"congrats!  i cuss like that in a matter of minutes, but didn`t know until now there is a reward for it.",neutral,70-100,Peru
138,humous and doritos oh yes,humous and dorito`s.... oh yes,neutral,0-20,Philippines
139,missed all the awesome weather because she was in a movie,"missed all the awesome weather,",negative,21-30,Poland
140,date_today is going to be a normal day for i hope we had a group of pilots from a large airline come in time_last time_night so it was too much drink,today is going to be a normal day for i hope. we had a group of pilots from a large airline come in last night so it was too much drink,neutral,31-45,Portugal
141,these kids are terrible if i was in good evans i d call childline,terrible!,negative,46-60,Qatar
142,unfortunatley aerlingus no longer fly to copenhagen so were have to fly ryanair to billund and drive up to copenhagen one of the days,"unfortunatley,",negative,60-70,Romania
143,what s sad is that i actually had to google that term that sucks though,"that sucks, tho.",negative,70-100,Russia
144,hate fighting,hate fighting,negative,0-20,Rwanda
145,i watched that too i did not want her to win but she put up a good fightlol,"i watched that too!!! i didnt want her to win, but she put up a good fight..lol",neutral,21-30,Saint Kitts and Nevis
146,carwarmed sprite tastes like sore throat,car-warmed sprite tastes like sore throat,negative,31-45,Saint Lucia
147,just came NUMBERth in cross country and beat dumbo,just came 11th in cross country and beat dumbo,neutral,46-60,Saint Vincent and the Grenadines
148,candle wax is very enjoyable,enjoyable.,positive,60-70,Samoa
149,she s unassuming and unpretentious she s just as i suppose that s why she s so endearingbecause we can relate to her,endearing-,positive,70-100,San Marino
150,org_moro valerias lunch going to get my hair done but Instant Message arraving late got my cousins babtizm or whatever you spell it,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral,0-20,Sao Tome and Principe
151,goodd morning tweets week cardinal_three of my workout did i mention i got my new glasses date_yesterday,goooooddd morning tweets!!,positive,21-30,Saudi Arabia
152,me too i hate my computer so much,hate,negative,31-45,Senegal
153,fine going to do my big walk date_today work_of_art_NUMBER or so miles,fine!,positive,46-60,Serbia
154,i want red cruisers i do nt like the other ones lmfao,i don`t like the other ones.,negative,60-70,Seychelles
155,person_mm it in the time_morning,mmmmmmmm... ? it in the morning,neutral,70-100,Sierra Leone
156,me neither,me neither,neutral,0-20,Singapore
157,has about NUMBER hours work to do on a date_sunday boo i will find time for a time_two time_hour lunchbreak though yeah,"has about 10 hours work to do, on a sunday. boo. i will find time for a two hour lunchbreak though. yeah",neutral,21-30,Slovakia
158,bugger forgot i still have washing in my machine,bugger. forgot i still have washing in my machine,negative,31-45,Slovenia
159,_ person_laurie sending love blessings healing thoughts to you family peace,"sending love, blessings & healing thoughts to you & family  peace",positive,46-60,Solomon Islands
160,my back hurtsreally bad,.really bad,negative,60-70,Somalia
161,ass hole yes i know that feeling,"ah yes, i know that feeling",neutral,70-100,South Africa
162,time_night of the cookers with my dad,night of the cookers with my dad,neutral,0-20,South Korea
163,my modem has been offline for date_a date_week now person_god bless the g person_network person_tim just left again may schedule has been brutal,brutal,negative,21-30,South Sudan
164,nope i am in coquitlam,nope i am in coquitlam,neutral,31-45,Spain
165,had parent teacher thing date_yesterday so boring going to org_School on date_saturday laughing out loud,boring,negative,46-60,Sri Lanka
166,gpe_lichfield tweetup sounds like fun hope to see you and everyone else there,p sounds like fun,positive,60-70,Sudan
167,big booming thunder storm almost here maybe we can all go home early ah probably not,big booming thunder storm almost here.  maybe we can all go home early???  ah... probably not.,neutral,70-100,Suriname
168,few bevvies date_today in twngreat on date_a date_day off,great,positive,0-20,Sweden
169,time_first time_night in myers just not the same without lydia but i m actually excited about date_this date_summer,excited,positive,21-30,Switzerland
170,good morning,good morning,positive,31-45,Syria
171,its the best show ever,its the best show ever!,positive,46-60,Tajikistan
172,org_Uniform org_Resource org_Locator in previous post to timer job should be URL i d removed space which messed up url es,messed,negative,60-70,Tanzania
173,i think iv hurt my tooth and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha l,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :l .,neutral,70-100,Thailand
174,i want to know when the auditions are mander text orreply please,i want to know when the auditions are mander! text or...reply please!,neutral,0-20,Timor-Leste
175,or even noo not the secret namerebecca please,not the secret namerebecca please,negative,21-30,Togo
176,i miss my neice ca nt wait to see her bad and grown laughing out loud,miss,negative,31-45,Tonga
177,i need to get my computer fixed,i need to get my computer fixed,neutral,46-60,Trinidad and Tobago
178,really hopes her cars illness is not terminal,illness,negative,60-70,Tunisia
179,all the cool people i want to find for following date_today are language_english and i guess the language_english do nt tweet,"all the cool people i want to find for following today are #english, and i guess the english don`t tweet.",neutral,70-100,Turkey
180,no siri would have put honeybut i do nt have any,no sir...i woulda put honey...but i don`t have any,neutral,0-20,Turkmenistan
181,who watched xmen origins wolverine i totally loved it haha,i totally loved it!,positive,21-30,Tuvalu
182,i voted do you have a personal myspace i keep talking to fakes i love you you helped me through the hrdest time of my life x,i <3 you. u helped me thru the hrdest time of my life!,positive,31-45,Uganda
183,i m sad that i missed you guys time_last time_night,sad,negative,46-60,Ukraine
184,finally got a call for marriage counseling days late,finally got a call for marriage counseling 3 days late....,neutral,60-70,United Arab Emirates
185,okay then,ok then,neutral,70-100,United Kingdom
186,_ person_NUMBER why baby,why baby?,neutral,0-20,United States of America
187,date_today was date_the date_last date_day of high school for me and i ended up going home sick stupid dead rats,sick!,negative,21-30,Uruguay
188,were having an impromptu pool party except i do nt know how to swim so i ca nt get in,we`re having an impromptu pool party... except i don`t know how to swim so i can`t get in,neutral,31-45,Uzbekistan
189,lost my tooth date_today whilst i was person_eating person_gumoww,oww,negative,46-60,Vanuatu
190,happy date_year love,happy 1 year! <3,positive,60-70,Venezuela
191,oh i very forgot to say my official good time_morning like to hear it here it go good morrning twitterville laughing out loud,goooooooooooood morrrrrrrrning,positive,70-100,Vietnam
192,phew will make a note in case anyone else runs into the same issueãââ½,*phew*  will make a note in case anyone else runs into the same issueã¯â¿â½,neutral,0-20,Yemen
193,what about me i vote date_every date_day for you,what about me ??  i vote every day for you !!!!!,negative,21-30,Zambia
194,i m starving this diet is killing me but i ca nt eat after pm,this diet is killing me,negative,31-45,Zimbabwe
195,i talk to you,i talk to you,neutral,46-60,Afghanistan
196,Instant Message So boredi am deffo missing my music channels,bored..,negative,60-70,Albania
197,time_night time_night birthday girl have fun at concert,e fun,positive,70-100,Algeria
198,had nicotine replacement patch on for for time_hours so far so good but i did sleep for most of those for time_hours getting a bit twitchy now,"so far, so good, but i did sleep for most of those 4 hours. getting a bit twitchy now",neutral,0-20,Andorra
199,_ person_sanderson what s with twatter lately either i ca nt get on or the replies do nt turn up,what`s with twatter lately?  either i can`t get on or the replies don`t turn up!,neutral,21-30,Angola
200,should be sleeping lost my voice date_a date_couple date_day date_ago,lost my voice,negative,31-45,Antigua and Barbuda
201,URL hate when my parked car gets hit,hate,negative,46-60,Argentina
202,i ve heard date_this date_fall i m waiting too,i`ve heard this fall. i`m waiting too!,neutral,60-70,Armenia
203,more nightmares huggles,more nightmares?  *huggles*,neutral,70-100,Australia
204,i am such a creeper i feel disappointed because of it my cyberstalking skills the internet no more privacy,i am such a creeper  i feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy,negative,0-20,Austria
205,going to bed its late and i have headache,headache,negative,21-30,Azerbaijan
206,happy mothers day to all moms out there,happy,positive,31-45,Bahamas
207,grabbing coffee from then making mom breakfast,grabbing coffee from  then making mom breakfast,neutral,46-60,Bahrain
208,Instant Message thinking that Instant Message going to have fun tonightand maybe some changes are coming,going to have fun,positive,60-70,Bangladesh
209,thanks before the major chop,thanks. before the major chop.,neutral,70-100,Barbados
210,haha i know i can not handle the fame and thank you,d thank you!,positive,0-20,Belarus
211,just got up and updated my ipod,just got up and updated my ipod,neutral,21-30,Belgium
212,yes person_sober person_hahaha tanghaling tapat dude haha wild i do nt person_knoww plan plan before you go to us,hahaha,positive,31-45,Belize
213,we never miss icarly my son has a huge crush on miranda,crush,positive,46-60,Benin
214,saw person_james person_carville in the store date_today his head is really that bald,saw james carville in the store today. his head is really that bald,neutral,60-70,Bhutan
215,yellow for URL,yellow for   ? http://blip.fm/~5z05g,neutral,70-100,Bolivia
216,which means you re just going to have to come back to vancouver and have it our way hahah,which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral,0-20,Bosnia and Herzegovina
217,feeling smooth like chrome,feeling smooth,positive,21-30,Botswana
218,ew traffic,ew traffic,negative,31-45,Brazil
219,downloading songs while trying to sneak a little homework in too which should be my main priority not songs laughing out loud,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral,46-60,Brunei
220,user your not alonei need coffee too,your not alone...i need coffee too.,neutral,60-70,Bulgaria
221,sounds like me,sounds like me,neutral,70-100,Burkina Faso
222,date_bad date_day the day you realize what mess you ve put me through will be cardinal_one of the happiest days of my life,bad day  the day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral,0-20,Burundi
223,walking to class i hate not having a bikeespecially mine,i hate not having a bike..,negative,21-30,Cï¿½te d'Ivoire
224,_ person_nesmith,_nesmith,neutral,31-45,Cabo Verde
225,failed inspection did you know you can pass wooven but not woantitip bracket which is only sold woven this is worse than taxes,this is worse than taxes.,negative,46-60,Cambodia
226,person_jonas brothers live to party its rocking so hard i love the song,jonas brothers - live to party.                it`s rocking so hard,positive,60-70,Cameroon
227,happy mothers day to all the mothers in the world,happy,positive,70-100,Canada
228,org_NUMBERmins through the hr org_NUMBERmins google wave demo that looks a lot of fun would love to test it though URL,would love to test it though.,positive,0-20,Central African Republic
229,sleepy tabz is heading to bed fun night listened through the next episode of jossd,fun night!,positive,21-30,Chad
230,the exception for a short dude larenz fineass tate yum,the exception for a short dude: larenz fineass tate yum,neutral,31-45,Chile
231,screw the reviews i thought wolverine was awesome but not enough dominic monaghan for my liking,i thought wolverine was awesome.,positive,46-60,China
232,if you followed us recently please do not be offended that we have nt followed back we hit our limit hopefully we will be free soon,hopefully,positive,60-70,Colombia
233,yes i work to,yes i work 6 to 3...,neutral,70-100,Comoros
234,hmm maybe that s what they meant they eluded to something brand new but you know how the media is,"hmmm, maybe that`s what they meant. they eluded to something brand new but you know how the media is",neutral,0-20,Congo (Congo-Brazzaville)
235,done at the spa now meeting vic for some late lunch,done at the spa   now meeting vic for some late lunch!,neutral,21-30,Costa Rica
236,happy date_monday up and about going to tavares date_today hope everyone has a blessed day,happy,positive,31-45,Croatia
237,always have wanted to go to oz,always have wanted to go to oz,neutral,46-60,Cuba
238,thank you,thx,neutral,60-70,Cyprus
239,URL cool love it,luv,positive,70-100,Czechia (Czech Republic)
240,that s why i need to be thereto represent the blackberries,that`s why i need to be there,positive,0-20,Democratic Republic of the Congo
241,okay so i m dedicating my NUMBERth tweet to the fact that i m going to the apple store because there is a huge crack on the glass screen,okay so i`m dedicating my 300th tweet to the fact that i`m going to the apple store because there is a huge crack on the glass screen!,neutral,21-30,Denmark
242,if only we could ever actually be allowed to stay here and do that,if only we could ever actually be allowed to stay here and do that,neutral,31-45,Djibouti
243,let me know how that turns out,let me know how that turns out!!,neutral,46-60,Dominica
244,was that sass i detect as long as it is nt back sass haha,was that sass i detect?  as long as it isn`t back sass! haha,neutral,60-70,Dominican Republic
245,yeah i was thinking about that ahaha,",ahaha",positive,70-100,Ecuador
246,sports bar shatranjanpoli rest ph NUMBER all sports bar product_andheri product_w NUMBER do not know whether that helps google ki jai hold on,sports bar shatranjanpoli rest ph 26498457 all sports bar andheri w 26733333 dont know whether that helps. google ki jai ho,neutral,0-20,Egypt
247,i m not sleeping at all until accepts my appology,i`m not sleeping at all un,negative,21-30,El Salvador
248,wolverine was boss seriously and person_william was in it what the,"seriously,",negative,31-45,Equatorial Guinea
249,i live for pain bring it on,"i live for pain, bring it on",neutral,46-60,Eritrea
250,okay i m out for a while back later,"okay, i`m out for a while  back later!",neutral,60-70,Estonia
251,powerblog what is this powerblog challenge you keep talking about i m a new player follower,g what is this powerblog challenge you keep talking about?  i`m a newbie followe,neutral,70-100,"Eswatini (fmr. ""Swaziland"")"
252,almost died laptop screen was set to NUMBER brightness after i reinstalled windows vista got a headache now insanedefaults,died.,positive,0-20,Ethiopia
253,waiting for tish to get off got to drive my moms crv to pick her up all my myself and duckie ordinal_first time,waiting for tish to get off. got to drive my moms crv to pick her up all my myself and duckie. first time,neutral,21-30,Fiji
254,trying to decide on a movie with the friends not going to well laughing out loud p no bible study nite which means day cake buy my own,not going to well!,negative,31-45,Finland
255,going to shower because i do nt want to smell at school moro,going to shower because i don`t want to smell at school tomorrow,neutral,46-60,France
256,sigh you know i am,sigh... you know i am...,neutral,60-70,Gabon
257,discovered because of a bug in the new netplayer for build publishing bug fix now hopefully new beta by org_moro,hopefully,positive,70-100,Gambia
258,here are for free twitter tools will get you followers URL URL URL URL,here are 4 free twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xpg0/,neutral,0-20,Georgia
259,just got home from work and is chugging down a big bottle of apple juice,just got home from work.... and is chugging down a big bottle of apple juice.,neutral,21-30,Germany
260,yes it does please do not go if you die i will cry which normally leads to small animals getting harmed,g harmed,negative,31-45,Ghana
261,writing report cards soo tired but what an amazing date_day check it out on fb soon,what an amazing day.,positive,46-60,Greece
262,it was only once for my big brotherand i m done now,it was only once for my big brother...and i`m done now,neutral,60-70,Grenada
263,good news finally finished my easactive workout that has been paused for time_hours bad news my resistance band is torn,good news: finally finished my #easactive workout that has been paused for 6 hours. bad news: my resistance band is torn,neutral,70-100,Guatemala
