,Slang,Meaning
285,apu,as per usual
286,aqap,as quick as possible
287,ar,are
288,arnd,around
289,arse,ass
290,arsed,bothered
291,arvo,afternoon
292,asafp,as soon as f**king possible
293,asaik,as soon as I know
294,asap,as soon as possible
295,asarbambtaa,All submissions are reviewed by a moderator before they are added.
296,asbmaetp,Acronyms should be memorable and easy to pronounce
297,ase,"age, sex, ethnicity"
298,asf,and so forth
299,ashl,a**h**e
300,ashole,a**h**e
301,asic,application specific integrated circuit
302,asl,"age, sex, location"
303,asln,"age, sex, location, name"
304,aslo,age sex location orientation
305,aslop,Age Sex Location Orientation Picture
306,aslp,"age, sex, location, picture"
307,aslr,age sex location race
308,aslrp,"age, sex, location, race, picture"
309,asr,age sex race
310,asshle,a**h**e
311,atab,Ain't That A b***h 
312,atb,all the best
313,atfp,answer the f**king phone
314,atl,atlanta
315,atm,at the moment
316,ato,against the odds
317,atop,at time of posting
318,atp,answer the phone
319,atq,answer the question
320,atst,At the same time
321,attn,attention
322,attotp,At The Time Of This Post
323,atw,All the way
324,aty,according to you
325,audy,Are you done yet?
326,aufm,are you f**king mental
327,aufsm,are you f**king shiting me
328,aup,acceptable use policy
329,aupi,and your point is
330,av7x,avenged sevenfold
331,avgn,Angry Video Game Nerd
332,avie,Avatar
333,avsb,a very special boy
334,avtr,avatar
335,avvie,avatar
336,avy,Avatar
337,awb,Acquaintance with benefits
338,awes,awesome
339,awk,awkward
340,awol,absent without leave
341,awsic,and why should i care
342,awsm,awesome
343,awsome,awesome
344,awty,are we there yet
345,ayagob,are you a girl or boy
346,ayb,All Your Base
347,aybab2m,all your base are belong 2 me
348,aybab2u,All your base are belong to us
349,aybabtg,All Your Base Are Belong To Google
350,aybabtu,all your base are belong to us
351,Aybbia,Are you bored because I am
352,ayc,awaiting your comments
353,ayd,are you done
354,aydy,are you done yet
355,ayec,at your earliest convenience
356,ayfk,are you f**king kidding
357,ayfkm,are you f**king kidding me
358,ayfr,are you for real
359,ayfs,Are You f**king Serious
360,ayk,are you kidding
361,aykm,are you kidding me
362,ayl,are you listening
363,aymf,are you my friend
364,ayok,are you okay
365,aypi,and your point is
366,ayrft,Are you ready for Tomorrow 
367,ays,are you serious
368,aysm,are you shitting me?
369,ayst,are you still there
370,ayt,are you there
371,ayte,alright
372,aytf,are you there f**ker
373,ayty,are you there yet
374,ayw,as you wish
375,ayws,as you were saying
376,azhol,a**h**e
377,azn,asian
378,azz,ass
379,Ya'll,You all
380, bi,bye
381,b&,banned
382,b'day,birthday
383,b-cuz,because
384,b-day,birthday
385,b.f.f.,best friend forever
386,b.s.,bulls**t
387,b/c,because
388,b/cos,because
389,b/g,background
390,b/s/l,Bisexual/Straight/Lesbian
391,b/t,between
392,b/w,between
393,b00n,new person
394,b00t,boot
395,b0rked,broken
396,b1tch,b***h
397,b2b,business to business
398,b2u,back to you
399,b2w, Back to work
400,b3,be
401,b4,before
402,b4n,bye for now
403,b4u,before you
404,b4ug,before you go
405,b4ul,before you Leave
406,b8,bait
407,b82rez,Batteries
408,b8rez,Batteries
409,b@,banned
410,bab,Big ass Boobs
411,babi,baby
412,Badonkadonk,Butt
413,bae,before anyone else
414,baf,bring a friend
415,baggkyko,"be a good girl, keep your knickers on"
416,bah,I don't really care
417,bai,Bye
418,bak,back
419,bakk,back
420,balz,balls
421,bamf,bad ass mother f**ker
422,bamofo,b***h ass mother f**ker
423,bau,back at you
424,bb,bye bye
425,bb4h,bros before hoes
426,bb4n,Bye-bye for now
427,bbbj,Bare Back Blow Job
428,bbe,baby
429,bbf,best boy friend
430,bbfn,Bye Bye for now
431,bbfs,best boyfriends
432,bbfu,be back for you
433,bbg,baby girl
434,bbi,Baby
435,bbiab,be back in a bit
436,bbiaf,be back in a few
437,bbialb,Be back in a little bit
438,bbiam,be back in a minute
439,bbias,be back in a second
440,bbiaw,be back in a while
441,bbifs,be back in a few seconds
442,bbilb,be back in a little bit
443,bbilfm,be back in like five minutes
444,bbim,Be Back In Minute
445,bbk,"be back, ok?"
446,bbl,be back later
447,bbl8a,Be Back Later
448,bblig,Be back later...i guess
449,bbm,BlackBerry Messenger
450,bbml,be back much later
451,bbn,be back never
452,bbol,be back online later
453,bbp,Banned by parents
454,bbq,be back quick
455,bbrs,be back really soon
456,bbs,be back soon
457,bbsts,be back some time soon
458,bbt,be back tomorrow
459,bbtn,be back tonite
460,bbvl,Be Back Very Later
461,bbw,be back whenever
462,bbwb,best buddy with boobs
463,bbwe,be back whenever
464,bbwl,be back way later
465,bby,baby
466,bbz,babes
467,bc,because
468,bch,b***h
469,bck,back
470,bcnu,be seeing you
471,bcnul8r,be seeing you later
472,bcos,because
473,bcoz,Because
474,bcurl8,Because you're late.
475,bcuz,because
476,bd,birthday
477,bday,birthday
478,bde,big d**k energy 
479,bdfl,Benevolent Dictator For Life
480,bdy,body
481,be4,before
482,beatch,b***h
483,bebe,baby
484,becuse,because
485,becuz,because
486,beech,b***h
487,beeoch,b***h
488,beezy,b***h
489,beotch,b***h
490,besos,kisses
491,bestie,best friend
492,betch,b***h
493,betcha,bet you
494,bettr,better
495,bewb,boob
496,bewbs,boobs
497,bewbz,boobs
498,bewt,boot
499,beyatch,b***h
500,beyotch,b***h
501,bezzie,best friend
502,bf,boyfriend
503,bf's,boyfriend's
504,bf+gf,boyfriend and girlfriend
505,bf4e,best friends for ever
506,bf4eva,Best Friends forever
507,bf4l,best friends for life
508,bfam,brother from another mother
509,bfd,big f**king deal
510,bfe,Bum f**k Egypt
511,bff,best friend forever
512,bffa,best friends for always
513,bffaa,Best Friends Forever And Always
514,bffae,Best Friends Forever And Ever
515,bffaw,best friends for a while
516,bffe,Best friends forever
517,bffeae,Best Friend For Ever And Ever
518,bffene,Best Friends For Ever And Ever
519,BFFF,Best f**king Friend Forever
520,bffl,best friends for life
521,bffn,best friends for now
522,bffr,be f**king for real
523,bfftddup,best friends forever till death do us part
524,bfg,big f**king gun
525,bfh,b***h from hell
526,bfhd,big fat hairy deal
527,bfitww,best friend in the whole world
528,bfn,bye for now
529,bfs,Boyfriends
530,bft,big f**king tits
531,BFWB,BEST FRIENDS WITH BENEFITS
532,bg,background
533,bh,bloody hell
534,bhvr,behaviour
535,bhwu,back home with you
536,biab,back in a bit
537,biach,b***h
538,biaf,Back In A Few
539,biatch,b***h
540,bibi,bye bye
541,bibifn,bye bye for now
542,bibya,before i beat your ass
543,bicbw,but I could be wrong
544,bich,b***h
545,bigd,big deal
546,bii,bye
547,bilf,brother i'd like to f**k
548,bilu,baby i love you
549,bion,Believe it or not.
550,biotch,b***h
551,bioya,blow it out your ass
552,bipoc,"Black, Indigenous, and people of color"
553,bish,b***h
554,bisly,but i still love you 
555,bitd,back in the day
556,bitz,neighborhood
557,biw,boss is watching
558,biwm,bisexual white male
559,biz,Business
560,bizatch,b***h
561,bizi,Busy
562,biznatch,b***h
563,biznitch,b***h
564,bizzle,b***h
565,bj,blowjob
566,bk,back
567,bka,better known as
568,bl,bad luck
569,bleme,blog meme
570,bleve,believe
571,blg,blog
572,blh,bored like hell
573,bling-bling,jewelry
574,blj,blowjob
575,bljb,Blowjob
576,blk,black
577,blkm,Black Male
578,blm,black lives matter
579,blnt,Better Luck Next time
580,blog,web log
581,blogger,web logger
582,blu,blue
583,bm,Bite Me
584,bm&y,between you and me
585,bm4l,best mates for life
586,bma,best mates always
587,bmay,between me and you
588,bmf,be my friend
589,bmfe,best mates forever
590,bmfl,best mates for life
591,bmha,bite my hairy ass
592,bml,bless my life
593,bmoc,Big Man On Campus
594,bmttveot,best mates till the very end of time
595,bmvp,be my valentine please
596,bn,been
597,bndm3ovr,Bend me over
598,bng,being
599,bnib,Brand new in Box
600,bnol,be nice or leave
601,bnr,banner
602,bo,body odour
603,boati,Bend Over And Take It
604,bobfoc,"Body of Baywatch, Face of Crimewatch"
605,bobw,Best of Both Worlds
606,boffum,Both of them
607,bofh,b*****d operator from hell
608,bogo,buy one get one
609,bogof,buy one get one free
610,bogsatt,bunch of guys sitting around the table
611,bohic,Bend over here it comes
612,bohica,"bend over, here it comes again"
613,boi,boy
614,bol,Barking Out Loud
615,bonr,boner
616,boomm,bored out of my mind
617,bord,bored
618,bos,boss over shoulder
619,botoh,but on the other hand
620,bout,about
621,Bouta,About to
622,boutta,about to 
623,bovered,bothered
624,bowt,about
625,boxor,box
626,bpot,big pair of tits
627,br,bathroom
628,brah,brother
629,brb,be right back
630,brbafkb,be right back away from keyboard
631,Brbb,Be Right Back Babe
632,brbbrb,br right back bath room break
633,brbf,Be Right Back f**ker
634,brbg2p,"be right back, got to pee"
635,brbigtp,"be right back, i got to pee."
636,brbl,be right back later
637,brbmf,be right back mother f**ker
638,brbmpawoms,be right back my parents are watching over my shoulder
639,brbn2gbr,"Be right back, I need to go to the bathroom"
640,brbs,be right back soon
641,brbts,be right back taking s**t
642,brd,bored
643,Breaky,Breakfast
644,brfb,be right f**king back
645,brgds,best regards
646,brh,be right here
647,brk,Break
648,bro,brother
649,bros,brothers
650,broseph,brother
651,brover,Brother
652,brt,be right there
653,bruh,brother
654,bruhh,Brother
655,bruv,brother
656,bruva,brother
657,bruz,brothers
658,bs,bulls**t
659,Bsfr,Be so for real
660,bsmfh,b*****d System Manager From Hell
661,bsod,blue screen of death
662,bsomn,blowing stuff out my nose
663,bstfu,b***h shut the f**k up
664,bstrd,b*****d
665,bsx,bisexual
666,bsxc,be sexy
667,bt,bit torrent
668,btb,by the by
669,btch,b***h
670,btcn,Better than Chuck Norris
671,btd,bored to death
672,btdt,been there done that
673,btdtgtts,"Been there, done that, got the T-shirt"
674,btfl,beautiful
675,btfo,back the f**k off
676,btfw,by the f**king way
677,bth,be totally honest
678,btias,Be there in a second
679,btm,bottom
680,btr,better
681,bts,be there soon
682,btsoom,Beats The s**t Out Of Me
683,btto,better than the original
684,bttt,"been there, tried that"
685,bttyl,be talking to you later
686,btw,by the way
687,btwilu,by the way i love you
688,btwitiailwu,by the way i think i am in love with you
689,btwn,between
690,bty,back to you
691,bubar,bushed up beyond all recognition
692,bubi,bye
693,budzecks,butt sex
694,buhbi,Bye Bye
695,bukket,bucket
696,bur,p***y
697,burma,be undressed ready my angel
698,bussin,excellent
699,buszay,busy
700,but6,buttsex
701,butsecks,butt sex
702,butterface,every thing is hot but her face
703,buwu,breaking up with you
704,bw3,Buffalo Wild Wings
705,bwim,by which i mean
706,BWL,Bursting with laughter
707,bwoc,Big Woman On Campus
708,bwpwap,back when Pluto was a planet
709,bwt,but when though
710,byak,blowing you a kiss
711,byeas,good-bye
712,byes,bye bye
713,bykt,But you knew that
714,byob,Bring your own Beer
715,byoc,bring our own computer
716,byoh,bring your own high
717,byow,bring your own weed
718,byself,by myself
719,bytabm,beat you to a bloody mess
720,bytch,b***h
721,bz,busy
722,bzns,buisness
723,bzy,busy
724,bzzy,busy
725,c,see
726,c 2 c,cam to cam (webcams)
727,c&c,Command and Conquer
728,c'mon,Come On
729,c-p,sleepy
730,c.y.a,cover your ass
731,c/b,comment back
732,c/t,can't talk
733,c14n,canonicalization
734,c2,come to
735,c2c,care to chat?
736,c2tc,cut to the chase
737,c4ashg,care for a shag
738,c4y,cool for you
739,c@,cat
740,cam,camera
741,cancer stick,cigarette
742,catwot,complete and total waste of time
743,cawk,c**k
744,cayc,call at your convenience
745,cb,come back
746,cba,can't be arsed
747,cbb,can't be bothered
748,cbf,cant be f**ked
749,cbfa,can't be f**king arsed
750,cbfed,can't be f**ked
751,cbi,can't believe it
752,CBT,c**k and Ball Torture
753,ccl,Couldn't Care Less
754,ccna,Cisco Certified Network Associate
755,cd9,Code 9 (other people nearby)
756,celly,cell phone
757,cex,sex
758,cexy,sexy
759,cfas,care for a secret?
760,cfid,check for identification
761,cfm,come f**k me
762,cg,Congratulations
763,cgad,couldn't give a damn
764,cgaf,couldn't give a f**k
765,cgf,cute guy friend
766,ch@,chat
767,champs,champions
768,char,character
769,cheezburger,cheeseburger
770,Chg,Change
771,chik,chick
772,chilax,chill and relax in one word
773,chillax,chill and relax
774,chillin,relaxing
775,chk,check
776,chohw,Come Hell or high water
777,chr,character
778,chronic,marijuana
779,chswm,come have sex with me
780,chswmrn,come have sex with me right now
781,chu,you
782,chut,p***y
783,Cicy,Can I call you
784,cid,consider it done
785,cig,cigarette
786,cigs,cigarettes
787,cihswu,can i have sex with you
788,cihyn,can i have your number
789,cilf,child i'd like to f**k
790,cing,seeing
791,cis,computer information science
792,ciwwaf,cute is what we aim for
793,cless,clanless
794,clevr,clever
795,clm,Cool Like Me
796,clt,Cool Like That
797,cluebie,clueless newbie
798,cm,call me
799,cma,Cover My Ass
800,cmao,Crying My Ass Off
801,cmar,cry me a river
802,cmb,comment me back
803,cmbo,combo
804,cmcp,call my cell phone
805,cmeo,crying my eyes out
806,cmh,Call My House
807,cmiiw,correct me if I'm wrong
808,cmitm,Call me in the morning
809,cml,call me later
810,cml8r,call me later
811,cmliuw2,call me later if you want to
812,cmn,call me now
813,cmomc,call me on my cell
814,cmon,Come on
815,cmplcdd,complicated
816,cmplte,complete
817,cmptr,computer
818,cms,content management system
819,cmt,comment
820,cmw,cutting my wrists
821,cn,can
822,cnc,Command and Conquer
823,cnt,can't
824,cob,close of business
825,cod,Call of Duty
826,cod4,call of duty 4
827,cod5,call of duty 5
828,codbo,Call of Duty: Black Ops
829,codbo2,Call of Duty: Black Ops II
830,code 29,moderator is watching
831,code 8,parents are watching
832,code 9,Parents are watching
833,code9,other people near by 
834,cof,Crying on the floor
835,coiwta,come on i wont tell anyone
836,col,crying out loud
837,comin',coming
838,comnt,comment
839,comp,Computer
840,compy,computer
841,congrats,congratulations
842,contrib,contribution
843,contribs,contributions
844,convo,conversation
845,coo,cool
846,cood,could
847,copyvio,copyright violation
848,cos,because
849,cotf,crying on the floor
850,cotm,check out this myspace
851,cowboy choker,cigarette
852,coz,because
853,cp,child porn
854,cpl,Cyber Athlete Professional League
855,cpm,cost per 1000 impressions
856,cptn,captain
857,cpu,computer
858,cpy,copy
859,cr,Can't remember
860,cr8,crate
861,crakalakin,happening
862,Cray-cray,Crazy
863,crazn,crazy asian
864,cre8or,creator
865,crm,customer relationship management
866,crp,crap
867,crs,can't remember s**t
868,crunk,combination of crazy and drunk
869,crzy,crazy
870,cs,Counter-Strike
871,cs:s,Counter-Strike: Source
872,csi,Crime Scene Investigation
873,cskr,c**k sucker
874,csl,can't stop laughing
875,css,cascading style sheets
876,ct,can't talk
877,cta,call to action
878,ctc,call the cell
879,ctf,capture the flag
880,ctfd,calm the f**k down
881,ctfo,chill the f**k out
882,ctfu,cracking the f**k up
883,ctm,chuckle to myself
884,ctn,can't talk now
885,ctnbos,can't talk now boss over shoulder
886,ctncl,Can't talk now call later
887,ctpc,cant talk parent(s) coming
888,ctpos,Can't Talk Parent Over Sholder
889,ctrl,control
890,ctrn,can't talk right now
891,cts,change the subject
892,ctt,change the topic
893,cu,goodbye
894,cu2,see you too
895,cu2nit,see you tonight
896,cu46,see you for sex
897,cubi,can you believe it
898,cud,could
899,cuic,see you in class
900,cul,see you later
901,cul83r,See you later
902,cul8er,see you later
903,cul8r,See You Later
904,cul8tr,see you later
905,culd,Could
906,cunt,vagina
907,cuom,see you on monday
908,cuple,couple
909,curn,calling you right now
910,cut3,cute
911,cuwul,catch up with you later
912,cuz,because
913,cuzz,Because
914,cvq,chucking very quietly
915,cw2cu,can`t wait to see you
916,cwd,comment when done
917,cwm,come with me
918,cwmaos,coffee with milk and one sugar
919,cwot,complete waste of time
920,cwtgypo,can't wait to get your panties off
921,cwyl,chat with ya later
922,cy2,see you too
923,cya,goodbye
924,cyal,see you later
925,cyal8r,see you later
926,cyas,see you soon
927,cyb,cyber
928,cybl,call you back later
929,cybr,cyber
930,cybseckz,cyber sex
931,cye,Close Your Eyes
932,cyff,"change your font, f**ker"
933,cyl,see you later
934,"cyl,a","see ya later, alligator"
935,cyl8,see you later
936,cyl8er,see you later
937,cylbd,catch ya later baby doll
938,cylor,check your local orhtodox rabbi
939,cym,check your mail
940,cyntott,see you next time on Tech Today
941,CYS,Check Your Settings
942,cyt,see you tomorrow
943,cyu,see you
944,c|n>k,coffee through nose into keyboard
945,Icydci,In case you didn't catch it
946,d&c,divide and conquer
947,d&df,drug & disease free
948,d.t.f,down to f**k
949,d.w,don't worry
950,d/c,disconnected
951,d/l,download
952,d/m,Doesn't Matter
953,d/w,don't worry
954,d00d,dude
955,d1ck,d**k
956,d2,Diablo 2
957,d2m,dead to me
958,d2t,drink to that
959,d8,date
960,da,the
961,da2,Dragon Age 2
962,dadt,Don't ask. Don't tell.
963,DAE,Does anyone else
964,dafs,do a f**king search
965,dafuq,What the f**k
966,dah,dumb as hell
967,daii,day
968,damhik,don't ask me how I know
969,damhikijk,Don't Ask Me How I Know - I Just Know
970,damhikt,don't ask me how I know this
971,Daq, don't ask questions 
972,dass,dumb ass
973,dat,that
974,dats,that's
975,daty,dining at the y
976,dawg,Friend
977,dayfn,Didn't ask you for nothing
978,dayum,damn
979,dayumm,damn
980,db,database
981,db4l,drinking buddy for life
982,dbab,don't be a b***h
983,dbafwtt,Don't Be A Fool Wrap The Tool
984,dbag,d****ebag
985,dbeyr,don't believe everything you read
986,dbg,don't be gay
987,dbh,don't be hating
988,dbi,Don't Beg It
989,dbm,don't bother me
990,dbz,DragonBall Z
991,dc,don't care
992,dc'd,disconnected
993,dctnry,dictionary
994,dcw,Doing Class Work
995,dd,don't die
996,ddf,Drug and Disease Free
997,ddg,Drop Dead Gorgeous
998,ddl,direct download
999,ddos,Distributed Denial of Service
1000,ddr,dance dance revolution
1001,ddt,Don't do that
1002,deadass,seriously
1003,ded,Dead
1004,deets,details
1005,deez,these
1006,def,definitely
1007,defs,definetly
1008,degmt,Don't Even Give Me That
1009,dem,them
1010,der,there
1011,dernoe,I don't know
1012,detai,don't even think about it
1013,dewd,Dude
1014,dey,they
1015,df,Dumb f**k
1016,dfc,DON'T f**kING CARE
1017,dfo,dumb f**king operator
1018,dfs,down for sex
1019,dftba,don't forget to be awesome
1020,dftc,down for the count
1021,dfu,don't f**k up
1022,dfw,down for whatever
1023,dfw/m,Don't f**k with Me
1024,dfwm,Don't f**k with Me
1025,dfwmt,Don't f**king waste my time
1026,dfwu,don't f**k with us
1027,dg,don't go
1028,dga,don't go anywhere
1029,dgac,don't give a crap
1030,dgaf,don't give a f**k
1031,dgara,don't give a rats ass
1032,dgas,Don't give a s**t
1033,dgms,Don't get me started
1034,DGMW,Don't get me wrong
1035,dgoai,don't go on about it
1036,dgt,don't go there
1037,dgu,don't give up
1038,dgypiab,don't get your panties in a bunch
1039,dh,dickhead
1040,dhac,Don't have a clue
1041,dhcp,Dynamic Host Configuration Protocol
1042,dhly,does he like you
1043,Dhmu,Dude hit me up
1044,dhv,Demonstration of Higher Value
1045,diacf,die in a car fire
1046,diaf,die in a fire
1047,diah,die in a hole
1048,dic,do i care
1049,dick,penis
1050,diez,dies
1051,diff,difference
1052,dih,d**k in hand
1053,dikhed,dickhead
1054,diku,do i know you
1055,diky,Do I know you
1056,dil,Daughter in law
1057,dilf,dad i'd like to f**k
1058,dillic,Do I look like I care
1059,dillifc,do I look like I f**king care
1060,dilligad,do I look like I give a damn
1061,dilligaf,do I look like I give a f**k
1062,dilligas,do i look like i give a s**t
1063,din,didn't
1064,din't,didn't
1065,dinkwad,dual income no kids with a dog
1066,dinkwads,dual incomes no kids with a dog
1067,dirl,Die in real life
1068,dis,this
1069,dit,Details in Thread
1070,diy,do it yourself
1071,dju,did you
1072,dk,don't know
1073,dkdc,"don't know, don't care"
1074,dl,download
1075,dlf,dropping like flies
1076,dlibu,Dont let it bother you
1077,dln,don't look now
1078,dltbgud,don't let the b*****ds grind you down
1079,dm,deathmatch
1080,dmaf,do me a favor
1081,dmba*,dumbass
1082,dmi,don't mention it
1083,dmn,damn
1084,DMs,Direct Messages
1085,dmu,don't mess up
1086,dmwm,don't mess with me
1087,dmy,don't mess yourself
1088,dn,don't know
1089,dnd,Do Not Disturb
1090,dndp,Do not double post
1091,Dnf,Did not finish
1092,dnimb,dancing naked in my bra
1093,dnk,do not know
1094,dno,don't know
1095,dnrta,did not read the article
1096,dnrtfa,did not read the f**king article
1097,dns,Domain Name System
1098,dnt,don't
1099,dnw,Do not want
1100,doa,dead on arrival
1101,dob,date of birth
1102,dod,Day of Defeat
1103,dogg,friend
1104,doin,doing
1105,doin',doing
1106,don,denial of normal
1107,doncha,Don't you
1108,donno,don't know
1109,dont,don't
1110,dontcha,don't you
1111,dood,dude
1112,doodz,dudes
1113,dos,denial of service
1114,dotc,dancing on the ceiling
1115,doypov,depends on your point of view
1116,doz,dozen
1117,dp,display picture
1118,dpmo,don't piss me off
1119,DPRK,Democratic People's Republic of Korea
1120,dprsd,depressed
1121,dqmot,don't quote me on this
1122,dqydj,don't quit your day job
1123,dr00d,druid
1124,drc,don't really care
1125,Drk,Don’t really know
1126,drm,dream
1127,drood,druid
1128,dsided,decided
1129,dsu,don't screw up
1130,dt,double team
1131,dt2m,don't talk to me
1132,dta,Don't Trust Anyone
1133,dtb,don't text back
1134,Dtf,Down to f**k
1135,dth,down to hang
1136,dtl,damn the luck
1137,dtp,Don't Type Please
1138,dtrt,do the right thing
1139,dts,Don't think so
1140,dttm,don't talk to me
1141,dttml,don't talk to me loser
1142,dttpou,Don't tell the police on us
